# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Thu Aug 24 17:08:00 CEST 2017

# Wavelength:								0.0	0.0	0.0	482.6	561.3	654.60004	864.6	1609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	flh	muschelindex	ndvi	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steigung_nIR_SWIR1	steigung_red_nIR	summary_error
pin_48	2439.500706097798	4393.496445395549	8.923171	54.05074299999998	java.awt.Color[r=0,g=0,b=255]	Pin 48		0.004924154	0.100627646	0.23154785	0.027384115	0.049508795	0.06497613	0.10413299	0.10342877	0.21861792	0.8311918	0.078809895	0.08999832	-9.460156E-4	0.18646123	0.002825414
pin_65	2324.499999999998	3596.5	8.869802004187818	54.26559170390398	java.awt.Color[r=0,g=0,b=255]	Pin 65		0.0053682122	0.0945945	0.2385604	0.025011485	0.0474168	0.062246338	0.10125012	0.085952975	0.21091326	0.6504931	0.26872212	0.0807848	-0.02054963	0.18573232	0.00224392
pin_67	2146.500000000004	3664.5	8.78790871923696	54.247140863912904	java.awt.Color[r=0,g=0,b=255]	Pin 67		0.003368182	0.081328474	0.18713543	0.027741281	0.047212705	0.062935166	0.09191269	0.07049263	0.20206055	0.4931499	0.4224848	0.0843653	-0.028774926	0.13798821	0.0015918425
pin_7	1715.5003917297058	1879.4991843116159	8.584630999999998	54.72787999999998	java.awt.Color[r=0,g=0,b=255]	Pin 7		0.0047493754	0.07671456	0.25225422	0.02457778	0.043130763	0.05474578	0.091683075	0.07340101	0.18955961	0.5219949	0.33102915	0.14697593	-0.024559462	0.1758919	0.0014130191
pin_8	1923.5005670360213	1710.5011330759153	8.681165	54.77373499999996	java.awt.Color[r=0,g=0,b=255]	Pin 8		0.003874462	0.091902204	0.25245774	0.025700314	0.04522276	0.059899226	0.1003572	0.09202486	0.20547917	0.69788414	0.1919241	0.11019175	-0.0111933565	0.19265702	0.0018858565
pin_10	2043.5005950335762	1997.4955201547903	8.737628	54.69649500000002	java.awt.Color[r=0,g=0,b=255]	Pin 10		0.0028323196	0.07328126	0.24253112	0.02072545	0.03897229	0.054414123	0.08925943	0.04898592	0.18264584	0.29870233	0.5751529	0.12614477	-0.054101977	0.16593005	0.0024808706
pin_11	1907.4984716827573	2108.493885892816	8.674563	54.666416000000005	java.awt.Color[r=0,g=0,b=255]	Pin 11		0.001951173	0.08842403	0.21199274	0.02779231	0.045835048	0.06296068	0.09683652	0.08631015	0.20563224	0.6528583	0.24708535	0.10005635	-0.01414075	0.16131356	0.0019061518
pin_15	2159.500263232808	2191.500584358722	8.79189	54.644295	java.awt.Color[r=0,g=0,b=255]	Pin 15		0.0022782935	0.076917134	0.21375865	0.026491193	0.043436915	0.058547087	0.09038196	0.07638593	0.19236596	0.56073815	0.29455483	0.14470707	-0.018801758	0.15159464	0.0013069819
pin_47	2358.5003351417254	4376.494045189116	8.886042	54.05529800000002	java.awt.Color[r=0,g=0,b=255]	Pin 47		0.0058766566	0.094776876	0.2436638	0.02547071	0.047952555	0.06176161	0.101556264	0.10166844	0.21127042	0.8104932	0.06708429	0.122422524	1.506931E-4	0.18949836	0.0024343685
pin_64	2341.5	3596.5	8.877632287789638	54.265599904483814	java.awt.Color[r=0,g=0,b=255]	Pin 64		0.004674211	0.0768142	0.23744082	0.018786533	0.040579557	0.056199968	0.09119835	0.048041973	0.18797788	0.29140136	0.6008604	0.10773821	-0.05797471	0.16665897	0.0035151935
