# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Mon Aug 28 14:33:21 CEST 2017

# Wavelength:								0.0	0.0	0.0	0.0	0.0	0.0	443.0	482.6	561.3	654.60004	864.6	1609.0	2201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	albedo_vis	flh	index_flags	muschelindex	muschelindex_nds	ndvi	reflec_443	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_2201	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steig_blue_nir_mal_blue	steigung_nIR_SWIR1	steigung_red_nIR	summary_error	tsx_mean	tsx_skew	tsx_stdv
pin_54	2065.501330196473	4702.4977569494085	8.752291	53.967194	java.awt.Color[r=0,g=0,b=255]	Pin 54		0.054475594	0.0071260575	0.0	0.11920267	0.0337669	0.19480072	0.01987856	0.030241473	0.057953306	0.07523201	0.111633554	0.04480193	0.025098253	0.16342679	0.2081081	0.998369	-0.20647709	0.13204236	-0.08977918	0.17334072	0.0012120622	0.0	0.0	0.0
pin_66	2330.5	3599.5	8.872568127937932	54.26478578159341	java.awt.Color[r=0,g=0,b=255]	Pin 66		0.044636425	0.005105743	0.0	0.08935726	0.037813533	0.22283089	0.016000712	0.02478188	0.046983093	0.062144294	0.09778047	0.06454831	0.04206381	0.13390927	0.4474909	0.50354886	0.048960257	0.09159513	-0.04464288	0.16969611	0.0019287884	0.0	0.0	0.0
pin_56	1110.4999999999611	1598.5	8.301516062216969	54.80233977940295	java.awt.Color[r=0,g=0,b=255]	Pin 56		0.054365043	0.011930309	0.0	0.27319226	0.24008946	0.44253063	0.022200162	0.030190451	0.061142318	0.07176236	0.18569523	0.044699885	0.017827298	0.16309513	0.11477423	1.5745631	-0.6893373	0.31001642	-0.18940806	0.5425375	0.017435368	0.0	0.0	0.0
pin_57	1119.4999999999688	1653.5000000001862	8.30596999897198	54.787536868012104	java.awt.Color[r=0,g=0,b=255]	Pin 57		0.06786095	0.01211402	0.0	0.31474787	0.19263434	0.37827042	0.031052867	0.041084126	0.07461272	0.08788601	0.19482857	0.10319917	0.051528804	0.20358285	0.62326837	1.1231642	-0.74643254	0.33319932	-0.12309162	0.50925034	0.012730289	0.0	0.0	0.0
pin_38	2206.4999792334156	3671.4960043849114	8.815540999999998	54.24529999999999	java.awt.Color[r=0,g=0,b=255]	Pin 38		0.046660382	0.0041850414	0.0	0.087995745	0.031640075	0.20381486	0.019393826	0.027868843	0.048437282	0.063675016	0.09627526	0.07656452	0.05244724	0.13998114	0.5727431	0.35408857	0.073168345	0.087508	-0.026478698	0.15523928	0.0021822064	0.0	0.0	0.0
pin_43	2409.4996338563174	4145.494636389862	8.909278	54.11760300000001	java.awt.Color[r=0,g=0,b=255]	Pin 43		0.040112276	0.0066355243	0.0	0.09042979	0.0592133	0.28127763	0.012097368	0.020342773	0.043513447	0.0564806	0.10068885	0.061537884	0.0325733	0.12033682	0.39027712	0.5496994	0.060023446	0.09371411	-0.052593995	0.2105155	0.004376622	0.0	0.0	0.0
pin_44	2550.5001010552264	4373.501772166509	8.974030499999998	54.056156	java.awt.Color[r=0,g=0,b=255]	Pin 44		0.04625219	0.0034402274	0.0	0.099898495	0.04170187	0.22780485	0.016230324	0.02615953	0.047442317	0.065154724	0.10359724	0.10100512	0.06591764	0.13875657	0.78947455	0.12057356	0.089951925	0.09278787	-0.0034821557	0.18305962	0.0025321303	0.0	0.0	0.0
pin_48	2439.500706097798	4393.496445395549	8.923171	54.05074299999998	java.awt.Color[r=0,g=0,b=255]	Pin 48		0.04728968	0.004924154	0.0	0.100627646	0.043174695	0.23154785	0.01740388	0.027384115	0.049508795	0.06497613	0.10413299	0.10342877	0.07191298	0.14186904	0.8311918	0.078809895	0.08999832	0.093127854	-9.460156E-4	0.18646123	0.002825414	0.0	0.0	0.0
pin_65	2324.499999999998	3596.5	8.869802004187818	54.26559170390398	java.awt.Color[r=0,g=0,b=255]	Pin 65		0.04489154	0.0053682122	0.0	0.0945945	0.044308376	0.2385604	0.016153792	0.025011485	0.0474168	0.062246338	0.10125012	0.085952975	0.05619752	0.13467462	0.6504931	0.26872212	0.0807848	0.09169429	-0.02054963	0.18573232	0.00224392	0.0	0.0	0.0
pin_67	2146.500000000004	3664.5	8.78790871923696	54.247140863912904	java.awt.Color[r=0,g=0,b=255]	Pin 67		0.04596305	0.003368182	0.0	0.081328474	0.025822483	0.18713543	0.01906217	0.027741281	0.047212705	0.062935166	0.09191269	0.07049263	0.042701613	0.13788915	0.4931499	0.4224848	0.0843653	0.08247185	-0.028774926	0.13798821	0.0015918425	0.0	0.0	0.0
