# SNAP pin export table
#
# Product:	wattklassen_20160510_SH_L8_megarippel_adjust_server
# Created on:	Thu Aug 24 16:54:17 CEST 2017

# Wavelength:								0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	Band_1
pin_7	1715.5003917297076	1879.4991843116159	8.584630999999998	54.72787999999998	java.awt.Color[r=0,g=0,b=255]	Pin 7		3.0
pin_8	1923.5005670360213	1710.5011330758532	8.681165	54.77373499999998	java.awt.Color[r=0,g=0,b=255]	Pin 8		3.0
pin_10	2043.5005950335762	1997.4955201548214	8.737628	54.69649500000002	java.awt.Color[r=0,g=0,b=255]	Pin 10		3.0
pin_11	1907.4984716827573	2108.493885892816	8.674563	54.666416000000005	java.awt.Color[r=0,g=0,b=255]	Pin 11		3.0
pin_15	2159.500263232808	2191.500584358722	8.79189	54.644295	java.awt.Color[r=0,g=0,b=255]	Pin 15		3.0
pin_47	2358.5003351417254	4376.494045189116	8.886042	54.05529800000002	java.awt.Color[r=0,g=0,b=255]	Pin 47		3.0
pin_64	2341.5	3596.5	8.877632287789638	54.265599904483814	java.awt.Color[r=0,g=0,b=255]	Pin 64		3.0
pin_3	1770.500922485633	1171.4909929017847	8.608408999999998	54.91884	java.awt.Color[r=0,g=0,b=255]	Pin 3		4.0
pin_6	1248.499088474819	2157.501571272034	8.368262999999994	54.65199299999999	java.awt.Color[r=0,g=0,b=255]	Pin 6		4.0
pin_29	1923.4997924555094	1713.5018870864374	8.681171	54.77292600000001	java.awt.Color[r=0,g=0,b=255]	Pin 29		4.0
pin_33	2219.500049600393	3550.5092209981754	8.821385	54.27793000000003	java.awt.Color[r=0,g=0,b=255]	Pin 33		4.0
pin_39	2210.500791811047	3635.4934067607546	8.81734	54.25500999999999	java.awt.Color[r=0,g=0,b=255]	Pin 39		4.0
pin_40	2161.500388040976	3939.5058533502743	8.795182	54.17300399999999	java.awt.Color[r=0,g=0,b=255]	Pin 40		4.0
pin_45	2494.5014582938047	4286.505146257238	8.948338	54.079605	java.awt.Color[r=0,g=0,b=255]	Pin 45		4.0
pin_46	2365.5000652447807	4393.498524299854	8.889262	54.05071599999998	java.awt.Color[r=0,g=0,b=255]	Pin 46		4.0
pin_53	2269.4996923591166	4709.507517064518	8.845588	53.96546000000001	java.awt.Color[r=0,g=0,b=255]	Pin 53		4.0
pin_63	2347.5	3594.5	8.880394357213534	54.266141927297774	java.awt.Color[r=0,g=0,b=255]	Pin 63		4.0
